method,max_abs_error,mean_abs_error,rmse,max_rel_error,mean_rel_error,mean_terms,mean_muls,mean_divs,mean_shifts,mean_adds,total_saturations,saturation_point_rate,max_intermediate_abs,mean_reduction_steps,kernel_ns_per_call,kernel_ns_std,e2e_ns_per_call,e2e_ns_std
direct_t12_trunc,20.4192907402,2.413857830996946,5.151641427779201,20.4202178167,2.41703163157388,11.276945039257672,10.466809421841543,10.466809421841543,0.0,10.276945039257672,2842,0.35831548893647397,500.0,0.0,24.885654297000002,0.043977674508713004,35.717060546666666,0.09031628708597891
direct_t12_rne,20.4192907998,2.4138577217010404,5.151641461715693,20.4202178763,2.417031611901501,11.338329764453961,10.513918629550322,10.513918629550322,0.0,10.338329764453961,2844,0.35831548893647397,500.0,0.0,27.738632812333332,0.1013015955710385,38.07511555966667,0.4369423410023931
direct_t16_rne,16.9560873101,2.129793230433512,4.3939396948769405,16.9568571502,2.133079194766209,14.260528194147037,13.588865096359743,13.588865096359743,0.0,13.260528194147037,2844,0.35831548893647397,500.0,0.0,39.75502604133333,0.036974832149938845,51.42068033866667,0.11355829362862872
direct_t20_rne,16.1847759673,2.0789187034141,4.26127894248154,16.1855107884,2.082168571970244,16.53604568165596,16.029978586723768,16.029978586723768,0.0,15.53604568165596,2844,0.35831548893647397,500.0,0.0,50.76645670566666,0.010021568070930815,62.102584635333336,0.09759625080673302
adaptive_rne,16.1225495527,2.0756171651801036,4.252398580982355,16.1232815485,2.0788644594187375,20.25196288365453,19.583868665239116,19.583868665239116,0.0,19.25196288365453,2844,0.35831548893647397,500.0,0.0,70.01146647133334,0.1009179187109432,80.53409179666666,0.10623528486652249
divfirst_t12_rne,27.546624245,3.304353984270287,7.63586481842352,27.5626503168,3.3079693285876037,11.341184867951464,10.521056388294076,10.521056388294076,0.0,10.341184867951464,1584,0.23411848679514632,320.0,0.0,28.07871093733333,0.01740804024911169,38.95551106766666,0.3971405660256025
rr_ln2_t12,7.36527735512e-06,1.504977563194544e-07,4.85775424732951e-07,3.41655954712e-06,4.5167527529770413e-08,5.389007851534618,6.388294075660243,5.388294075660243,0.9507494646680942,6.389007851534618,0,0.0,54.5981521606,1.0,18.521012369999998,0.5173566096052633,27.027093099000002,0.44033728190093147
rr_ln2_adaptive,7.36527735512e-06,1.504977563194544e-07,4.85775424732951e-07,3.41655954712e-06,4.5167527529770413e-08,5.389007851534618,6.050678087080657,5.050678087080657,0.9507494646680942,6.389007851534618,0,0.0,54.5981521606,1.0,17.260314127666664,0.16424246754191069,25.76918131533333,0.03826243119268505
halving_t12,5.8489761777e-05,1.407345341490692e-06,4.982345236551868e-06,3.41655954712e-06,1.1941716006950711e-07,6.980728051391863,10.049250535331906,6.980014275517488,6.138472519628836,9.049964311206281,0,0.0,53.5981533527,3.069236259814418,29.261280924333334,0.153155326721441,38.55320963566667,0.10880522571580702
halving_adaptive,5.8489761777e-05,1.407345341490692e-06,4.982345236551868e-06,3.41655954712e-06,1.1941716006950711e-07,6.980728051391863,9.599571734475374,6.530335474660957,6.138472519628836,9.049964311206281,0,0.0,53.5981533527,3.069236259814418,28.537753906333336,0.1541819726504113,38.210166015666665,0.08941442153219017
fine_ln2_2_t12,4.26605265602e-06,1.3547293383147351e-07,4.1800689602984e-07,3.41655954712e-06,4.1022915812737244e-08,4.4147037830121345,5.413990007137759,4.413990007137759,0.9507494646680942,5.4147037830121345,0,0.0,54.5981521606,1.0,15.501674805,0.06610664754481671,22.677216796666666,0.4315052139371685
fine_ln2_4_t12,4.11784573373e-06,1.4297742991539644e-07,4.428568213747329e-07,3.41655954712e-06,4.379718033532747e-08,3.6837972876516774,4.683083511777302,3.6830835117773018,0.9507494646680942,4.683797287651678,0,0.0,54.5981502533,1.0,12.948839518,0.28305487661815276,20.245340169333332,0.10573999411208129
fine_ln2_8_t12,4.11784573373e-06,1.3349732514451127e-07,4.285547993437535e-07,3.41655954712e-06,4.031985890796135e-08,3.2419700214132763,4.241256245538901,3.2412562455389007,0.9507494646680942,4.241970021413276,0,0.0,54.5981502533,1.0,11.842744140999999,0.453198670849114,18.055441080333335,0.10108919108507741
